Name,Image,Famille,Catégorie,Sous-catégorie,Couleur,Matières,Pièces habitation ,Dimension,Kg,Type achat,Fournisseur,Ref fournisseur,Type d'article,Unité,URL,Prix achat HT (indicatif),Description fournisseur
Chaise Liv Bouclette Naturelle,image_1024-227.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/Zqt3-ZdXmxWHOLFhxDiSQw/S1bL38L5T2112vkzNZWL9mT_zdJUP2WbaGHqK5KMN4MOtLPEUSi6l_lawZ5tzAT7gLTC9OxGqPt2JzSWkRVSCovFTB4rS04OWp-A3ctGd_1AD-TbxukFoFxPVcITl5uVg6OvdP78LQNaH75pi2qyaj7y8SNOJWSeOnx1yqr-KZc/WCvIx73YQ9f5yybZrjYshmT0jrJszI1tseNr94CiezY),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,"Blanc,Bois","Bois,Bouclette ","Salon,Chambre,Cuisine & salle à manger,Bureau"," L57 P53,5 H76cm",8.5,Stockage,6 -   Opjet,016068,vente de marchandises,Unité,https://www.opjet.com/shop/016068-chaise-suedoise-bouclette-naturelle-pivotante-clair-l57-p535-h76cm-17240#attr=,"€99,00","Chaise Suédoise Bouclette Naturelle Pivotante – L57 x P53,5 x H76 cm
Alliant élégance scandinave et confort moderne, cette chaise pivotante en tissu bouclette naturel est un choix parfait pour un bureau ou une salle à manger. Avec son design épuré et son assise moelleuse, elle apportera une touche chaleureuse et tendance à votre espace tout en assurant un confort optimal.
Caractéristiques :
- Matériau : Tissu bouclette 100% polyester
- Couleur : Naturel
- Garnissage : Mousse de polyuréthane (densité assise : 40 kg/m³, densité dossier : 24 kg/m³)
- Structure : Contreplaqué avec base en bois clair
- Hauteur d’assise : 46,5 cm
- Dimensions : L 57 cm x P 53,5 cm x H 76 cm
- Poids net : 8,5 kg
- Nombre de places : 1
Avantages :
- Confort pivotant : La fonction pivotante offre une grande liberté de mouvement, parfaite pour une utilisation dans un bureau ou une salle à manger.
- Design scandinave : Son revêtement en bouclette naturelle et sa base en bois clair apportent une touche nordique et moderne à votre intérieur.
- Assise ergonomique : Rembourrée de mousse de haute densité, cette chaise offre un soutien optimal pour un confort longue durée.
Conseil d'entretien :
Nettoyez délicatement avec un chiffon doux et sec pour préserver la texture du tissu bouclette. En cas de taches, utilisez un nettoyant doux adapté aux textiles. Évitez l’exposition directe à la lumière du soleil pour conserver la couleur naturelle du tissu."
Chaise Liv beige pivotante pied clair ,image_1024-17.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/KROE05RzGr2PhiMJz10djA/aqDzGZ-LztGQNERZgkox3R0qTSMCjoV8hOopy9MAYLXApkMuLKT0kUx1ziPlLReUqkZCC2Odh99bs-SWR04kCoMhtm0RA-NJ9MfGf3-ke4W8so9Ug3qufVo-Oo_u-xOmFqVvQOB6TUL50n9NoGO-w-hycKpaE_C-gzBa8weOUd8/6ve2YYTYeI0OFRPKPXrn6_B9vYXGF7IKqrj7nx1g0pE),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,"Marron,Bois","Bois,Cuir","Salon,Chambre,Cuisine & salle à manger,Bureau"," L57 P53,5 H76cm","8,5",Stockage,6 -   Opjet,016072,vente de marchandises,Unité,https://www.opjet.com/shop/016072-chaise-suedoise-beige-pivotante-pied-clair-l57-p535-h76cm-17247#attr=,"€87,00","Chaise Suédoise Beige Pivotante – L57 x P53,5 x H76 cm
Avec son design scandinave et son coloris beige élégant, cette chaise pivotante en simili cuir offre un confort optimal pour votre bureau ou salle à manger. Sa base en contreplaqué clair et sa structure ergonomique en font un choix parfait pour les amateurs de confort et de style.
Caractéristiques :
- Matériau : Simili cuir
- Couleur : Beige
- Garnissage : Mousse de polyuréthane (densité assise : 40 kg/m³, densité dossier : 24 kg/m³)
- Structure : Contreplaqué avec base en contreplaqué clair
- Hauteur d’assise : 46,5 cm
- Dimensions : L 57 cm x P 53,5 cm x H 76 cm
- Poids net : 8,5 kg
- Nombre de places : 1
Utilisation : Idéale pour un bureau ou une salle à manger, cette chaise ajoute une touche scandinave tout en assurant un confort remarquable.
Conseil d'entretien : Nettoyez avec un chiffon doux et humide pour conserver l’éclat et la douceur du simili cuir."
Chaise Louna Velours ,image_1024-496.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/Ekq40XVQQUJ1IFsjNS_yRQ/5Dm88sv6fSRT3ZMBuK6rbtWr3UNWwC53qLIoelk3XJElfKLh_dZUPmpaFMzytx7D5FHxsjEkAbd9y_eaJJpxJpheXt47hYVbiXM8Xq-4xhz2WjX5v1ixAu96h0K6PFfMcFrgDXWNi-zQvHQKZZvyQlTW9-1DVUG_Jt4vPtJSpdQ/glk27Oiy_92rwSMupb0b4t_uo3_EfrdRBpVDCY7qWbY),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,Rose,"Tissu / Velours,Métal","Salon,Chambre,Cuisine & salle à manger,Bureau"," L55 P47,5 H81cm",5.4,Stockage,6 -   Opjet,015985,vente de marchandises,Unité,https://www.opjet.com/shop/015985-chaise-juliette-velours-rose-l55-p47-5-h81cm-17046#attr=,"€25,00","Chaise Juliette en Velours Rose – L55 x P47,5 x H81 cm
Apportez une touche d'élégance vintage à votre intérieur avec la chaise Juliette en velours rose. Son assise moelleuse et son design arrondi offrent un confort optimal tout en créant une ambiance douce et raffinée, idéale pour une salle à manger, une coiffeuse ou un coin lecture.
Description
La chaise Juliette séduit par son revêtement en velours doux, sa forme enveloppante et sa structure fine en métal noir. Son rembourrage en mousse de qualité assure un confort idéal pour une utilisation quotidienne. Son style chic s'intègre facilement dans les décors modernes, classiques ou rétro.
Détails des caractéristiques
- Matériau : Velours
- Couleur : Rose
- Remplissage : Mousse de polyuréthane
- Tissu : 100% polyester
- Structure : Contreplaqué
- Base : Métal noir
- Hauteur d’assise : 47,5 cm
- Dimensions :
-  • Longueur : 55 cm
-  • Profondeur : 47,5 cm
-  • Hauteur : 81 cm
- Densité assise et dossier : 24 kg/m³
- Poids net : 5,4 kg
Avantages
✔ Confort optimal grâce au rembourrage généreux
 ✔ Velours doux au toucher et élégant
 ✔ Design intemporel facile à intégrer dans tous les styles d’intérieur
 ✔ Légère et facile à déplacer
Conseils d’utilisation
Parfaite en chaise de salle à manger, autour d'une table ronde ou rectangulaire, ou comme chaise d’appoint dans une chambre, un bureau ou une entrée.
Conseils d’entretien
- Dépoussiérer régulièrement avec une brosse textile douce
- En cas de tache, nettoyer avec un chiffon légèrement humide
- Éviter les expositions prolongées au soleil pour préserver la couleur
Ajoutez une note de charme et de douceur à votre espace avec la chaise Juliette en velours rose, à la fois confortable, design et pleine de caractère.






"
Chaise Louna bouclette naturel,image_1024-497.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/SNF2ss8AGlNfdiHLzUABaQ/EFUD2UGlT4V6v9znIrfL7B1QrNnoBV8UBu3bromDX5QWE16H2XW2nqXHqAYSWIFcm2vfpb-_4fKRNzVvSj1tvp0dLcj1aE4fKZhiSovlwWKrD7QqKc1JE8zetHq-PdqN9r5vmxLO4I2SxyWfA2lf2klkWt_AqAVx4BlzQ9iGjyE/n3WJL_ItaSY5WsksNNK6LFcsfgopuWJPHqBe_Bv9zhY),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,Blanc,"Bouclette ,Métal","Salon,Chambre,Cuisine & salle à manger,Bureau"," L55 P47,5 H81cm",5.4,Stockage,6 -   Opjet,015980,vente de marchandises,Unité,https://www.opjet.com/shop/015980-chaise-juliette-bouclette-naturel-l55-p47-5-h81cm-17041?page=33#attr=,"€29,99","Chaise Juliette Bouclette Naturel – L55 x P47,5 x H81 cm
Alliez confort et style avec la chaise Juliette en tissu bouclette blanc naturel. Avec son assise moelleuse et sa silhouette épurée, elle s’intègre parfaitement à un intérieur contemporain ou chaleureux. Idéale pour la salle à manger, un coin bureau ou une chambre.
Description
Le lifestyle et l’ergonomie sont les deux atouts majeurs de cette chaise design. Recouverte de tissu bouclé ultra-tendance, elle offre une assise confortable et un soutien agréable. Ses pieds en métal noir assurent stabilité et robustesse, tout en ajoutant une touche graphique à l’ensemble. (Pieds à monter)
Détails des caractéristiques
- Matériau : Tissu bouclé
- Couleur : Blanc naturel
- Remplissage : Mousse de polyuréthane
- Hauteur de l’assise : 47,5 cm
- Base : Métal noir
- Hauteur : 81 cm
- Profondeur : 47,5 cm
- Longueur : 55 cm
- Structure : Contreplaqué
- Tissu : 100% polyester
- Densité de l’assise : 24 kg/m³
- Densité du dossier : 24 kg/m³
Avantages
- Look tendance et doux grâce au tissu bouclette
- Confort optimal pour un usage quotidien
- Pieds en métal noir solides et élégants
- Facile à associer avec différents styles de décoration
Conseils d’entretien
Nettoyez avec un chiffon doux légèrement humide. Évitez les produits abrasifs et l’exposition directe au soleil pour préserver la couleur du tissu."
Chaise Lykke Sauge,image_1024-512.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/JmpyYKNM9Tf4KFH9JhAYDw/jWjkykBErJuoSm8PNBlVfa3_KmhjxXH4VlRhhIuhRnvqgqeHZRNk55v8oxCplw0cxZmYhxONP9ve2KwGKRue9fAJ6a6AJ35JWe1Ce7H3zwVJauUnQCX2_aLlYeRgx_r5MikLHM0YIaNfuZ--bB6aCHuI1yUjEVWEW-qkj58xul0/ZGk40ndUITt6FXZZ8iWYKUNxGP-J41fLAi2AuseQzAI),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,"Bleu,Bois","Plastique,Bois","Salon,Chambre,Cuisine & salle à manger,Bureau",L48 P43 H83 cm,5,Stockage,6 -   Opjet,015296,vente de marchandises,Unité,https://www.opjet.com/shop/015320-chaise-scandy-vert-thym-l48-p43-h83cm-15445#attr=,"€17,00","Chaise Scandy vert – L48 x P43 x H83 cm
Apportez une touche de modernité nordique à votre intérieur avec la chaise Scandy en coloris vert. Ce modèle allie design scandinave et confort, parfait pour les espaces de vie modernes ou professionnels.
Caractéristiques :
- Matériau : Assise en plastique, base en bois de hêtre
- Couleur : vert
- Garnissage : Mousse de polyuréthane
- Structure : Polypropylène robuste
- Revêtement : 60% polyuréthane, 40% polyester
- Hauteur d’assise : 43 cm
- Dimensions : L 48 cm x P 43 cm x H 83 cm
- Densité de l’assise : 24 kg/m³
- Densité du dossier : 24 kg/m³
- Poids net : 5 kg
- Nombre de places : 1
Avantages :
- Style scandinave élégant : Son coloris gris et sa base en bois de hêtre en font un ajout sobre et contemporain à tout intérieur.
- Confort : L'assise et le dossier rembourrés offrent un soutien optimal, idéal pour une utilisation quotidienne.
- Polyvalente : Adaptée pour une salle à manger, un bureau, ou un espace de coworking, elle s’intègre facilement dans différents décors.
Conseil d'entretien :
Nettoyez avec un chiffon doux et humide pour préserver l'aspect neuf de la chaise. Évitez les produits abrasifs qui pourraient endommager le plastique et le bois."
Chaise Nordik Rouille,image_1024-9.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/fMCfkQ5gIS7x1Q3KKmYQFg/Ph7d_kuxjFuxymyaVZOPoALLxQGCtrfa4rsaLu2b7IuiMbxnKVLckpHX9SUCGyad54wJH1pCSEU8tojIeuzf4g5YQ8zVw891KEodKpe62bBdxd7xIrF1eMLojrL_Xv65CCRuQLGPlXtszEvFQZ_UEHZcWKndAgu1jz61qPlRe5A/g5U33FM40tX1ZfxpmOglucBVx0DvtX1Zxk84V8EhP0g),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,"Orange,Bois","Plastique,Bois","Salon,Chambre,Cuisine & salle à manger,Bureau",L48 P43 H83 cm,5,Stockage,6 -   Opjet,015326,vente de marchandises,Unité,https://www.opjet.com/shop/015326-chaise-scandy-rouille-l48-p43-h83cm-15451#attr=,"€17,00","Chaise Scandy Rouille – L48 x P43 x H83 cm
Apportez une touche de chaleur nordique à votre intérieur avec la chaise Scandy en coloris rouille. Ce modèle allie design scandinave et confort, parfait pour les espaces de vie modernes ou professionnels.
Caractéristiques :
- Matériau : Assise en plastique, base en bois de hêtre
- Couleur : Rouille
- Garnissage : Mousse de polyuréthane
- Structure : Polypropylène robuste
- Revêtement : 60% polyuréthane, 40% polyester
- Hauteur d’assise : 43 cm
- Dimensions : L 48 cm x P 43 cm x H 83 cm
- Densité de l’assise : 24 kg/m³
- Densité du dossier : 24 kg/m³
- Poids net : 5 kg
- Nombre de places : 1
Avantages :
- Style scandinave élégant : Son coloris rouille et sa base en bois de hêtre en font un ajout chaleureux et moderne à tout intérieur.
- Confort : L'assise et le dossier rembourrés offrent un soutien optimal, idéal pour une utilisation quotidienne.
- Polyvalente : Adaptée pour une salle à manger, un bureau, ou un espace de coworking, elle s’intègre facilement dans différents décors.
Conseil d'entretien :
Nettoyez avec un chiffon doux et humide pour préserver l'aspect neuf de la chaise. Évitez les produits abrasifs qui pourraient endommager le plastique et le bois."
Chaise Oslo Blanche,image_1024-493.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/Lulu8iQv9z0wHDhE_MDHAw/Ut8BoMfqosdOS-to91pxCAIW0HgROMRZBpNx3RiGMQkRWy7I4vqw2BcY7EqvLTIidriEV9FD-A-onkBMLKxkImRNBB7C3oWeAxCT4copv2zKcNrfRceBbU9LbzkLFQQRKWUR7UqiEDkyuy3oXknOWPLpKljiJQcrtuyrrL6pWh4/fK0JD3vbuJc8owFLSAzBc0PHZ7hBungnDnJZfVF54sM),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,"Blanc,Bois","Plastique,Bois","Salon,Chambre,Cuisine & salle à manger,Bureau",L48 P43 H83cm,5.0,Stockage,6 -   Opjet,015319,vente de marchandises,Unité,https://www.opjet.com/shop/015319-chaise-scandy-blanche-l48-p43-h83cm-15444?page=5&category=1#attr=,"€20,90","Chaise Design Scandinave Blanche – L48 x P43 x H83 cm
Avec son style épuré et intemporel, cette chaise scandinave blanche s’intègre parfaitement dans tous les intérieurs, que ce soit autour d’une table à manger, dans un bureau ou une chambre. Son assise confortable et sa structure légère en font un choix aussi pratique qu’élégant.
Description
Cette chaise allie une coque ergonomique en polypropylène blanc à une base en bois de hêtre naturel, le tout complété par un coussin intégré en simili cuir. Elle offre un excellent confort d’assise grâce à son rembourrage en mousse et son dossier légèrement incurvé.
Détails des caractéristiques
- Matériau : Plastique (polypropylène)
- Couleur : Blanc
- Remplissage : Mousse de polyuréthane
- Tissu : Simili cuir (coussin intégré)
- Base : Bois de hêtre
- Structure : Polypropylène
- Hauteur d’assise : 43 cm
- Hauteur totale : 83 cm
- Profondeur : 43 cm
- Longueur : 48 cm
- Nombre de places : 1
- Densité de l’assise : 28 kg/m³
- Poids net : 5 kg
Avantages
✔ Design scandinave intemporel
 ✔ Assise confortable avec coussin intégré
 ✔ Structure légère et résistante
 ✔ Idéale pour une utilisation quotidienne
Utilisation
Parfaite autour d’une table à manger, dans un coin bureau ou en chaise d’appoint pour une pièce de vie.
Conseils d’entretien
Nettoyez la coque et l’assise avec un chiffon doux légèrement humide. Évitez les solvants et produits abrasifs.
Ajoutez une note nordique chic à votre intérieur avec cette chaise scandinave blanche, aussi fonctionnelle que stylée.










O ChatGPT pode cometer erros. Considere verificar informações importantes."
Chaise Lykke Noire,image_1024-18.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/PpJD4QC5bZ86vllWwWae2w/JJXOEmYkgQ0e8NM1hiMIpcCFe9GjEE1RbmWANQAOhaHKGMWv-732Dmspqt2BKFtZbGrpgThnvs1PWoSZQT6rOTPg8merJtCFGNPxteCla0z6t41k_GwbTxVzMYFY-FPvhLrxDGElk4ti1IyKJS8OdatHtpiCcwlw8ef5RGgUjyk/ptH0StRynxtAz9DsXIJ-KalRsm-mT6jj-27ULZ6eWUE),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,"Noir,Bois","Plastique,Bois","Salon,Chambre,Cuisine & salle à manger,Bureau",L48 P43 H83 cm,5,Stockage,6 -   Opjet,015321,vente de marchandises,Unité,https://www.opjet.com/shop/015321-chaise-scandy-noire-l48-p43-h83cm-15446#attr=,"€17,00","Chaise Scandy Noire – L48 x P43 x H83 cm
Apportez une touche de sobriété nordique à votre intérieur avec la chaise Scandy en coloris noir. Ce modèle allie design scandinave et confort, parfait pour les espaces de vie modernes ou professionnels.
Caractéristiques :
- Matériau : Assise en plastique, base en bois de hêtre
- Couleur : Noir
- Garnissage : Mousse de polyuréthane
- Structure : Polypropylène robuste
- Revêtement : 60% polyuréthane, 40% polyester
- Hauteur d’assise : 43 cm
- Dimensions : L 48 cm x P 43 cm x H 83 cm
- Densité de l’assise : 24 kg/m³
- Densité du dossier : 24 kg/m³
- Poids net : 5 kg
- Nombre de places : 1
Avantages :
- Style scandinave élégant : Son coloris noir et sa base en bois de hêtre en font un ajout sophistiqué et moderne à tout intérieur.
- Confort : L'assise et le dossier rembourrés offrent un soutien optimal, idéal pour une utilisation quotidienne.
- Polyvalente : Adaptée pour une salle à manger, un bureau, ou un espace de coworking, elle s’intègre facilement dans différents décors.
Conseil d'entretien :
Nettoyez avec un chiffon doux et humide pour préserver l'aspect neuf de la chaise. Évitez les produits abrasifs qui pourraient endommager le plastique et le bois."
Chaise Lykke Café,image_1024-6.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/FyMLpGeyQAHnghP1N21N5A/SFd6xGFaXiwq0uz4O1F8A3DeA4Zag9fTppyjuXOWSUTeQToK8-6zyUVpbcbwygPKt0QSo6AFxFPTY9ZQ-CKSBw849dp9AbPHcdzi8rw72nMmNnQCU_dLxLkHjPh7fY0TBMwnPDTAe0SZCwA4-59khq259y4WLj8bUffNpA75Ehs/Im31kHmGbJBUM0yyQjv1-IK21ApYNU3U3G7xjbPVKv0),1 -  Maison et décoration,1 - Mobilier,5 - Chaise,"Marron,Bois","Plastique,Bois","Salon,Chambre,Cuisine & salle à manger,Bureau",L48 P43 H83 cm,5,Stockage,6 -   Opjet,015327,vente de marchandises,Unité,https://www.opjet.com/shop/015327-chaise-scandy-cafe-au-lait-l48-p43-h83cm-15452?page=3&category=1#attr=,"€17,00","Chaise Scandy Café au Lait – L48 x P43 x H83 cm
Apportez une touche de chaleur nordique à votre intérieur avec la chaise Scandy en coloris café au lait. Ce modèle allie design scandinave et confort, parfait pour les espaces de vie modernes ou professionnels.
Caractéristiques :
- Matériau : Assise en plastique, base en bois de hêtre
- Couleur : Café au lait
- Garnissage : Mousse de polyuréthane
- Structure : Polypropylène robuste
- Revêtement : 60% polyuréthane, 40% polyester
- Hauteur d’assise : 43 cm
- Dimensions : L 48 cm x P 43 cm x H 83 cm
- Densité de l’assise : 24 kg/m³
- Densité du dossier : 24 kg/m³
- Poids net : 5 kg
- Nombre de places : 1
Avantages :
- Style scandinave élégant : Son coloris café au lait et sa base en bois de hêtre en font un ajout chaleureux et moderne à tout intérieur.
- Confort : L'assise et le dossier rembourrés offrent un soutien optimal, idéal pour une utilisation quotidienne.
- Polyvalente : Adaptée pour une salle à manger, un bureau, ou un espace de coworking, elle s’intègre facilement dans différents décors.
Conseil d'entretien :
Nettoyez avec un chiffon doux et humide pour préserver l'aspect neuf de la chaise. Évitez les produits abrasifs qui pourraient endommager le plastique et le bois."
Table Ronde Léandre ,image_1024-57.png (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/EsmbZVDDtg3sGWcqtscn_g/5lCp4gTPHN-eIc0rb8yy3DgKztYNxUp0Ed0DJNRRwE1VKBDtfcdpUy6cT8P5wUIzoEHvwWKsne9dv89Gy1Y5zHvze5EZyHmR7y7NFTalmWLs710c8ZkXja_lW7_t_3pDbTMag84_oPIlTdh4qexqQ-3psHycMRWYJ_ccRlG9W8c/Op4w6Xk7O61oxBgX7ekc9OGDPKuNKnP7anpRFg13cIg),1 -  Maison et décoration,1 - Mobilier,6 - Table,Blanc,"Bois,Résine / Composite","Salon,Cuisine & salle à manger", D120 H76cm,,Stockage,6 -   Opjet, 017954,vente de marchandises,Unité,https://www.opjet.com/shop/017954-table-a-manger-ronde-edouard-d120-h76cm-22278?category=24#attr=,"€279,00","Table à Manger Ronde Édouard – D120 x H76 cm
Alliant modernité et robustesse, la table à manger Édouard se distingue par son design épuré et sa finition minérale. Avec son large plateau rond et sa base sculpturale, elle apporte du caractère à votre intérieur tout en créant une ambiance conviviale et élégante. Idéale pour accueillir jusqu'à 6 personnes, elle s'intègre parfaitement dans une salle à manger contemporaine ou minimaliste.
Caractéristiques :
- Matériau : MDF & ciment
- Couleur : Blanc
- Hauteur : 76 cm
- Diamètre : 120 cm
- Base : MDF et ciment
Avantages :
✔ Design contemporain : Une silhouette arrondie et une finition effet minéral pour un style raffiné et actuel.
 ✔ Format convivial : Plateau rond idéal pour les repas en famille ou entre amis (jusqu’à 6 personnes).
 ✔ Structure solide : Base large et stable en MDF et ciment pour un excellent maintien.
 ✔ Polyvalence : Se marie aussi bien avec des chaises design, en bois ou en tissu pour un mix & match réussi.
Utilisation :
Parfaite pour une salle à manger, une cuisine ouverte ou un espace repas élégant. Son design sobre s'adapte facilement à différents univers déco, du scandinave au contemporain.
Conseils d’entretien :
Nettoyez avec un chiffon doux légèrement humide. Évitez les produits abrasifs pour préserver la finition.
Ajoutez une touche de caractère à votre intérieur avec la table à manger ronde Édouard, où design et convivialité se rencontrent. 🍽️✨

"
Table à Manger Ovale Terra,image_1024-69.png (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/6GwsTLVvVPlgFhVui3DCTQ/P_RVMw_T067ha6fQDtwksabQ6CDYHvLAYyiM_zsK6Kq4rL0p_9n6vt64QPQ1SMvMK4Kks-RS9voMF0GzIXmQgfNx4kblIZoQ0BwVgCV3KIfAs-SyCEkDWJiByn0_Hedr4l5j9maBamgkCpmzixqERPgDtCwPTS5t-vDKRmKVi08/fTs2NHdp8MQB0WbJEcSbEY34GCfabbha9XkfROL9jMg),1 -  Maison et décoration,1 - Mobilier,6 - Table,Bois,Bois,"Salon,Cuisine & salle à manger",L160 P80 H76cm,,Stockage,6 -   Opjet,017987,vente de marchandises,Unité,https://www.opjet.com/shop/017987-table-a-manger-ovale-natura-l160-p80-h76cm-22360?page=2#attr=,"€379,00","Table à Manger Ovale Natura – L160 x P80 x H76 cm
Élégante et contemporaine, la table à manger ovale Natura associe des matériaux de qualité à un design tout en douceur. Son plateau effet céramique et ses lignes arrondies créent une atmosphère chaleureuse et raffinée, idéale pour un espace repas convivial.
Description
Avec sa forme ovale intemporelle et sa combinaison harmonieuse de céramique, MDF et métal, cette table devient une pièce centrale de votre salle à manger. Sa taille permet d’accueillir confortablement jusqu'à 6 personnes, pour des repas en famille ou entre amis.
Détails des caractéristiques
- Matériaux : Céramique, MDF, métal
- Base : MDF
- Longueur : 160 cm
- Profondeur : 80 cm
- Hauteur : 76 cm
Avantages
✔ Forme ovale élégante : idéale pour optimiser l’espace et favoriser la convivialité
 ✔ Matériaux robustes et esthétiques : céramique résistante, base MDF stable, finitions soignées
 ✔ Capacité confortable : jusqu’à 6 personnes
 ✔ Style naturel et moderne : s’intègre dans des décors contemporains, minimalistes ou scandinaves
Utilisation
Parfaite dans une salle à manger, une cuisine ouverte ou un espace de vie lumineux. Associez-la à des chaises en bois, tissu ou métal pour un mix & match réussi.
Conseils d’entretien
Nettoyez le plateau avec un chiffon doux et un nettoyant adapté à la céramique. Évitez les produits abrasifs pour préserver la surface.
Offrez à votre intérieur une touche de douceur et de modernité avec la table à manger ovale Natura, un équilibre parfait entre fonctionnalité et esthétisme."
Table à Manger Ronde Alva - Wengé,image_1024-59.png (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/V4JTGZiCzV0FhC20x7-Tpg/o90AT1r9opNsjHmywwcYqKeMnctYWLEk_tHzkyakb5XeTlPawY4MGyxULfONG1-bAPp0X7X_Hle1vz6Te4_GPEjuFe8QtsykA--3S9g8GESAPCMqQSUtboGrBHerqoM_LOxIUTAO8Gco1nENg1V_dCblL1Hp4unbYqTgOcQj-MY/Y12g_fcrMoZzWkf0dLAZ_8jlQovgPiLXSWXI-GTWd7s),1 -  Maison et décoration,1 - Mobilier,6 - Table,Marron,Bois,"Salon,Cuisine & salle à manger",D90 H75cm,12.0,Stockage,6 -   Opjet,018122,vente de marchandises,Unité,https://www.opjet.com/shop/018122-table-a-manger-ronde-lize-pm-facon-wenge-d90-h75cm-22658?page=3&category=24#attr=,"€99,50","Table à Manger Ronde Lize PM Façon Wengé – D90 x H75 cm
Compacte et élégante, la table à manger ronde Lize PM façon wengé est idéale pour les petits espaces sans faire de compromis sur le style. Avec son plateau plaqué frêne et sa base en bois de paulownia, elle allie chaleur naturelle et design minimaliste. Parfaite pour un coin repas cosy ou une cuisine, elle accueillera jusqu'à 4 personnes avec élégance.
Caractéristiques :
- Matériau : MDF, plaqué frêne
- Base : Bois de paulownia
- Hauteur : 75 cm
- Diamètre : 90 cm
- Poids net : 12 kg
Avantages :
✔ Finition façon wengé : Une teinte profonde et chaleureuse qui apporte du caractère à votre espace.
 ✔ Design épuré et intemporel : S’adapte facilement à tous les styles d’intérieur, du contemporain au bohème.
 ✔ Format pratique : Idéale pour les petits espaces ou les coins repas.
 ✔ Structure solide et légère : Facile à déplacer tout en restant stable et robuste.
Utilisation :
Placez-la dans une cuisine, une salle à manger ou un petit salon pour un espace repas à la fois pratique et stylé. Associez-la à des chaises en bois, métal ou tissu pour un look personnalisé.
Conseils d’entretien :
Nettoyez avec un chiffon doux et sec. Évitez l’humidité et les produits abrasifs afin de préserver la finition du bois plaqué.
Ajoutez du style à votre intérieur avec la table Lize PM façon wengé, un format compact au design affirmé."
Table à Manger Ronde Alva - Naturel,image_1024-10.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/fGmtyeVX5t5rAfhjRZ8Z_A/DBJ12OESOVRy2J7k3A942YSOacgFNI4KdZI1fox2Iw96S1dD4GiqWDAS4c5hhGkrAkBEOKyu_DqXtwX95kDm8prDagr7Hnefwlwvpc7JLLuHOdkOEJ9o8ahaDF6zc8tEum5xSlooIusOeh7SeuRgbfczeY2t2rtD7VYtWF8bYeg/17WQaTj2GEmz06g2_HCZbucpPyanwTlsBggc-lTPSB0),1 -  Maison et décoration,1 - Mobilier,6 - Table,Beige,Bois,"Salon,Cuisine & salle à manger",D90 H75cm,12,Stockage,6 -   Opjet,016753,vente de marchandises,Unité,https://www.opjet.com/shop/016753-table-ronde-lize-pm-d90-h75cm-19019?page=2&category=24#attr=,"€99,50","Table Ronde Lize PM – D90 x H75 cm
La table ronde Lize au design minimaliste est idéale pour les petits espaces. Fabriquée en MDF plaqué frêne et dotée d’une base en bois de paulownia, elle apporte une touche de chaleur et d’élégance naturelle à votre intérieur. Parfaite pour un coin repas ou un espace de travail léger.
Caractéristiques :
- Matériau : MDF plaqué frêne
- Base : Bois de paulownia
- Diamètre : 90 cm
- Hauteur : 75 cm
- Poids net : 12 kg
Utilisation : Idéale pour un coin repas dans une cuisine ou une petite salle à manger, cette table ronde peut également servir de bureau compact.
Conseil d'entretien : Nettoyez avec un chiffon doux et sec. Évitez l'exposition prolongée à l'humidité pour préserver la qualité du bois plaqué."
